,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
2,False,/eNI7PtK6DEYgZmHWP9gQNuff8pv.jpg,"[878, 28, 12]",624860,en,The Matrix Resurrections,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",105.55,/8c4a8kE7PizaGQQnditMmI1xbRp.jpg,2021-12-16,The Matrix Resurrections,False,6.5,4618
3,False,/aLLTfRD7EfbE9GVyosknReARNHI.jpg,"[16, 18, 12, 878]",843269,ja,EUREKA／交響詩篇エウレカセブン ハイエボリューション,"A virtual world in a scab coral (coral-like information life form) created by Eureka. Ten years have passed since the people of the virtual world appeared on this earth with the collapse. As a result of this “great fusion”, human beings in the virtual world call themselves “Green Earth”, and human beings on the old Earth call themselves “Blue Earth”, and various collisions will be repeated under the surface of the water. And Dewey Novak, a high-ranking official of the Green Earth Army, raises up with his colleagues to protect their dignity and finally puts into action a large-scale terrorist program.",99.116,/vtTSvyjgfgQ6ASiiwxHgmC2LrmV.jpg,2021-11-26,Eureka: Eureka Seven Hi-Evolution,False,6.1,9
4,False,/2Mq10FWFbxoYgsZysWlw7T9wSNe.jpg,"[10749, 18]",61979,es,Tres metros sobre el cielo,"Story of two young people who belong to different worlds. It is the chronicle of a love improbable, almost impossible but inevitable dragging in a frantic journey they discover the first great love. Babi is a girl from upper-middle class that is educated in goodness and innocence . Hache is a rebellious boy, impulsive, unconscious, has a appetite for risk and danger embodied in endless fights and illegal motorbike races, the limit of common sense",96.488,/fcFz2xEZodKOxHDn9DazxPYHDSc.jpg,2010-12-03,Three Steps Above Heaven,False,7.8,2686
5,False,/xtHonIIIQXverDQM08TMQXjn9Fe.jpg,"[35, 14]",214756,en,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",107.765,/220fvwTHqV7nNpRpZItmbVCHLjC.jpg,2015-06-25,Ted 2,False,6.3,6635
6,False,/kg2FOT2Oe5PSCgs3L4vLel6B7ck.jpg,"[28, 18, 27, 878, 53]",72190,en,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",88.465,/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg,2013-06-20,World War Z,False,6.8,13907
7,False,/w8wP1X3c7fNdt7otvCxCpWypD89.jpg,"[35, 18]",1078862,es,A Todas Partes,Two siblings who haven't seen each other in 15 years mend their relationship while fulfilling a childhood dream: a motorcycle road trip through Mexico.,92.379,/1mdYZDqYcRjD4yF8MCh8OPtXApI.jpg,2023-02-14,All the Places,False,6.6,32
8,False,/en971MEXui9diirXlogOrPKmsEn.jpg,"[28, 12, 35]",293660,en,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",114.986,/fSRb7vyIP8rQpL0I47P3qUsEKX3.jpg,2016-02-09,Deadpool,False,7.6,28134
9,False,/ytTQoYkdpsgtfDWrNFCei8Mfbxu.jpg,"[16, 10751, 12, 14, 35]",529203,en,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",107.896,/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg,2020-11-25,The Croods: A New Age,False,7.5,3306
10,False,/okJXzeIpbdx7q8rQjJwBNr8VTEk.jpg,"[16, 10751, 12, 18, 35]",150540,en,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",110.148,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,2015-06-09,Inside Out,False,7.9,18830
11,False,/hafgbeor4V3MIinoQNcvsRWQF6x.jpg,"[35, 10749]",232672,en,Blended,"Recently divorced mom Lauren and widowed dad Jim let their friends push them into a blind date, which goes disastrously wrong. Unsurprisingly, neither wants to see the other ever again. However, fate intervenes when both Jim and Lauren, unbeknown to each other, purchase one-half of the same vacation package at a South African resort for families. They and their children are forced to share the same suite and participate in a slew of family activities together, where their attractions grows as their respective kids benefit from the burgeoning relationship.",84.095,/jvGN091oLHWXptuHEZab7Kj4ZFe.jpg,2014-05-21,Blended,False,6.9,3039
